Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Started Fast CFR Training (1000000 games)...
....................................................................................................Time:  0.381462 seconds
Speed: 2.6215e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
----------------------------------------------------------------------
J:*:                     0.000          0.854          0.146          
J:*:c                    0.000          0.605          0.395          
J:*:cr                   0.000          0.971          0.029          
J:*:crr                  0.000          0.994          0.006          
J:*:crrr                 0.000          0.986          0.014          
J:*:crrrr                0.001          0.999          0.000          
J:*:r                    0.000          0.952          0.048          
J:*:rr                   0.000          0.968          0.032          
J:*:rrr                  0.000          0.962          0.038          
J:*:rrrr                 0.000          1.000          0.000          
J:J:cc                   0.000          0.840          0.160          
J:J:ccc                  0.000          0.000          1.000          
J:J:cccr                 0.000          0.000          1.000          
J:J:cccrr                0.000          0.500          0.500          
J:J:cccrrr               0.000          0.000          1.000          
J:J:cccrrrr              0.000          1.000          0.000          
J:J:ccr                  0.000          0.000          1.000          
J:J:ccrr                 0.000          0.000          1.000          
J:J:ccrrr                0.000          0.000          1.000          
J:J:ccrrrr               0.000          1.000          0.000          
J:J:crc                  0.000          0.044          0.956          
J:J:crcc                 0.000          0.000          0.999          
J:J:crccr                0.000          0.000          1.000          
J:J:crccrr               0.000          0.000          0.999          
J:J:crccrrr              0.000          0.147          0.853          
J:J:crccrrrr             0.000          1.000          0.000          
J:J:crcr                 0.000          0.000          1.000          
J:J:crcrr                0.000          0.000          1.000          
J:J:crcrrr               0.000          0.000          1.000          
J:J:crcrrrr              0.000          1.000          0.000          
J:J:crrc                 0.000          0.010          0.990          
J:J:crrcc                0.000          0.000          1.000          
J:J:crrccr               0.000          0.000          1.000          
J:J:crrccrr              0.000          0.011          0.989          
J:J:crrccrrr             0.000          0.184          0.816          
J:J:crrccrrrr            0.001          0.999          0.000          
J:J:crrcr                0.000          0.000          1.000          
J:J:crrcrr               0.000          0.000          1.000          
J:J:crrcrrr              0.000          0.000          1.000          
J:J:crrcrrrr             0.000          1.000          0.000          
J:J:crrrc                0.000          0.191          0.809          
J:J:crrrcc               0.010          0.068          0.922          
J:J:crrrccr              0.000          0.000          1.000          
J:J:crrrccrr             0.004          0.034          0.962          
J:J:crrrccrrr            0.000          0.000          1.000          
J:J:crrrccrrrr           0.000          1.000          0.000          
J:J:crrrcr               0.010          0.010          0.980          
J:J:crrrcrr              0.000          0.702          0.298          
J:J:crrrcrrr             0.003          0.003          0.993          
J:J:crrrcrrrr            0.000          1.000          0.000          
J:J:crrrrc               0.000          0.173          0.827          
J:J:crrrrcc              0.000          0.019          0.981          
J:J:crrrrccr             0.000          0.380          0.620          
J:J:crrrrccrr            0.000          0.049          0.951          
J:J:crrrrccrrr           0.333          0.333          0.333          
J:J:crrrrccrrrr          0.000          1.000          0.000          
J:J:crrrrcr              0.000          0.011          0.989          
J:J:crrrrcrr             0.000          0.101          0.899          
J:J:crrrrcrrr            0.000          0.000          1.000          
J:J:crrrrcrrrr           0.136          0.864          0.000          
J:J:rc                   0.000          0.396          0.604          
J:J:rcc                  0.000          0.000          1.000          
J:J:rccr                 0.000          0.000          1.000          
J:J:rccrr                0.000          0.000          1.000          
J:J:rccrrr               0.000          0.000          1.000          
J:J:rccrrrr              0.000          1.000          0.000          
J:J:rcr                  0.000          0.000          1.000          
J:J:rcrr                 0.000          0.000          0.999          
J:J:rcrrr                0.000          0.000          1.000          
J:J:rcrrrr               0.000          1.000          0.000          
J:J:rrc                  0.000          0.226          0.774          
J:J:rrcc                 0.001          0.002          0.997          
J:J:rrccr                0.000          0.000          1.000          
J:J:rrccrr               0.000          0.000          0.999          
J:J:rrccrrr              0.000          0.000          0.999          
J:J:rrccrrrr             0.000          1.000          0.000          
J:J:rrcr                 0.000          0.002          0.998          
J:J:rrcrr                0.000          0.000          1.000          
J:J:rrcrrr               0.003          0.499          0.499          
J:J:rrcrrrr              0.000          1.000          0.000          
J:J:rrrc                 0.000          0.302          0.698          
J:J:rrrcc                0.002          0.002          0.996          
J:J:rrrccr               0.000          0.000          1.000          
J:J:rrrccrr              0.000          0.000          0.999          
J:J:rrrccrrr             0.000          0.003          0.997          
J:J:rrrccrrrr            0.000          1.000          0.000          
J:J:rrrcr                0.000          0.000          1.000          
J:J:rrrcrr               0.000          0.000          1.000          
J:J:rrrcrrr              0.000          0.239          0.761          
J:J:rrrcrrrr             0.000          1.000          0.000          
J:J:rrrrc                0.000          0.951          0.049          
J:J:rrrrcc               0.022          0.022          0.957          
J:J:rrrrccr              0.000          0.000          1.000          
J:J:rrrrccrr             0.013          0.013          0.973          
J:J:rrrrccrrr            0.000          0.000          1.000          
J:J:rrrrccrrrr           0.007          0.993          0.000          
J:J:rrrrcr               0.022          0.022          0.957          
J:J:rrrrcrr              0.000          0.050          0.950          
J:J:rrrrcrrr             0.009          0.009          0.982          
J:J:rrrrcrrrr            0.000          1.000          0.000          
J:K:cc                   0.000          0.803          0.197          
J:K:ccc                  0.000          0.871          0.129          
J:K:cccr                 0.997          0.002          0.000          
J:K:cccrr                0.999          0.000          0.000          
J:K:cccrrr               0.333          0.000          0.667          
J:K:cccrrrr              0.500          0.500          0.000          
J:K:ccr                  0.998          0.000          0.001          
J:K:ccrr                 0.998          0.000          0.001          
J:K:ccrrr                0.986          0.007          0.007          
J:K:ccrrrr               1.000          0.000          0.000          
J:K:crc                  0.000          0.989          0.011          
J:K:crcc                 0.000          0.002          0.998          
J:K:crccr                1.000          0.000          0.000          
J:K:crccrr               0.990          0.010          0.000          
J:K:crccrrr              0.000          0.000          1.000          
J:K:crccrrrr             0.500          0.500          0.000          
J:K:crcr                 0.946          0.040          0.014          
J:K:crcrr                0.997          0.000          0.002          
J:K:crcrrr               0.985          0.007          0.007          
J:K:crcrrrr              1.000          0.000          0.000          
J:K:crrc                 0.000          0.036          0.964          
J:K:crrcc                0.003          0.934          0.063          
J:K:crrccr               0.988          0.006          0.006          
J:K:crrccrr              0.997          0.000          0.003          
J:K:crrccrrr             0.333          0.333          0.333          
J:K:crrccrrrr            0.625          0.375          0.000          
J:K:crrcr                0.998          0.002          0.000          
J:K:crrcrr               0.986          0.007          0.007          
J:K:crrcrrr              0.333          0.333          0.333          
J:K:crrcrrrr             0.500          0.500          0.000          
J:K:crrrc                0.000          0.988          0.012          
J:K:crrrcc               0.105          0.105          0.790          
J:K:crrrccr              1.000          0.000          0.000          
J:K:crrrccrr             0.562          0.003          0.435          
J:K:crrrccrrr            0.333          0.333          0.333          
J:K:crrrccrrrr           0.989          0.011          0.000          
J:K:crrrcr               0.809          0.114          0.077          
J:K:crrrcrr              0.244          0.110          0.646          
J:K:crrrcrrr             0.078          0.103          0.819          
J:K:crrrcrrrr            1.000          0.000          0.000          
J:K:crrrrc               0.000          0.451          0.549          
J:K:crrrrcc              0.012          0.979          0.009          
J:K:crrrrccr             0.000          0.000          1.000          
J:K:crrrrccrr            0.333          0.333          0.333          
J:K:crrrrccrrr           0.333          0.333          0.333          
J:K:crrrrccrrrr          0.333          0.333          0.333          
J:K:crrrrcr              0.706          0.286          0.008          
J:K:crrrrcrr             0.328          0.303          0.369          
J:K:crrrrcrrr            0.000          0.000          1.000          
J:K:crrrrcrrrr           0.500          0.500          0.000          
J:K:rc                   0.000          0.375          0.625          
J:K:rcc                  0.003          0.915          0.082          
J:K:rccr                 0.980          0.014          0.006          
J:K:rccrr                1.000          0.000          0.000          
J:K:rccrrr               0.921          0.016          0.063          
J:K:rccrrrr              0.333          0.333          0.333          
J:K:rcr                  1.000          0.000          0.000          
J:K:rcrr                 0.994          0.000          0.006          
J:K:rcrrr                0.329          0.048          0.624          
J:K:rcrrrr               0.983          0.017          0.000          
J:K:rrc                  0.000          0.999          0.001          
J:K:rrcc                 0.001          0.024          0.975          
J:K:rrccr                1.000          0.000          0.000          
J:K:rrccrr               0.964          0.033          0.003          
J:K:rrccrrr              1.000          0.000          0.000          
J:K:rrccrrrr             0.625          0.375          0.000          
J:K:rrcr                 0.589          0.293          0.118          
J:K:rrcrr                0.818          0.091          0.091          
J:K:rrcrrr               0.992          0.004          0.004          
J:K:rrcrrrr              0.500          0.500          0.000          
J:K:rrrc                 0.000          0.005          0.995          
J:K:rrrcc                0.002          0.996          0.002          
J:K:rrrccr               0.102          0.000          0.898          
J:K:rrrccrr              0.333          0.333          0.333          
J:K:rrrccrrr             0.000          0.000          1.000          
J:K:rrrccrrrr            0.500          0.500          0.000          
J:K:rrrcr                0.977          0.014          0.009          
J:K:rrrcrr               0.996          0.000          0.004          
J:K:rrrcrrr              0.840          0.035          0.125          
J:K:rrrcrrrr             1.000          0.000          0.000          
J:K:rrrrc                0.117          0.879          0.004          
J:K:rrrrcc               0.492          0.492          0.015          
J:K:rrrrccr              1.000          0.000          0.000          
J:K:rrrrccrr             0.333          0.333          0.333          
J:K:rrrrccrrr            0.333          0.333          0.333          
J:K:rrrrccrrrr           0.500          0.500          0.000          
J:K:rrrrcr               0.970          0.015          0.015          
J:K:rrrrcrr              0.000          0.000          1.000          
J:K:rrrrcrrr             0.333          0.333          0.333          
J:K:rrrrcrrrr            0.500          0.500          0.000          
J:Q:cc                   0.000          0.890          0.110          
J:Q:ccc                  0.000          0.702          0.298          
J:Q:cccr                 1.000          0.000          0.000          
J:Q:cccrr                0.999          0.000          0.000          
J:Q:cccrrr               0.333          0.333          0.333          
J:Q:cccrrrr              0.167          0.833          0.000          
J:Q:ccr                  0.999          0.000          0.001          
J:Q:ccrr                 1.000          0.000          0.000          
J:Q:ccrrr                0.987          0.006          0.006          
J:Q:ccrrrr               0.500          0.500          0.000          
J:Q:crc                  0.123          0.681          0.196          
J:Q:crcc                 0.000          0.012          0.987          
J:Q:crccr                0.993          0.002          0.006          
J:Q:crccrr               0.992          0.008          0.000          
J:Q:crccrrr              0.997          0.002          0.002          
J:Q:crccrrrr             0.500          0.500          0.000          
J:Q:crcr                 0.998          0.002          0.000          
J:Q:crcrr                1.000          0.000          0.000          
J:Q:crcrrr               0.333          0.333          0.333          
J:Q:crcrrrr              0.333          0.333          0.333          
J:Q:crrc                 0.006          0.470          0.524          
J:Q:crrcc                0.000          0.951          0.049          
J:Q:crrccr               0.781          0.015          0.204          
J:Q:crrccrr              0.831          0.165          0.004          
J:Q:crrccrrr             0.917          0.000          0.083          
J:Q:crrccrrrr            0.500          0.500          0.000          
J:Q:crrcr                0.599          0.061          0.340          
J:Q:crrcrr               0.996          0.002          0.002          
J:Q:crrcrrr              0.999          0.000          0.001          
J:Q:crrcrrrr             0.500          0.500          0.000          
J:Q:crrrc                0.000          0.987          0.013          
J:Q:crrrcc               0.129          0.129          0.741          
J:Q:crrrccr              0.893          0.004          0.103          
J:Q:crrrccrr             0.994          0.003          0.003          
J:Q:crrrccrrr            0.935          0.000          0.065          
J:Q:crrrccrrrr           0.333          0.333          0.333          
J:Q:crrrcr               0.741          0.007          0.252          
J:Q:crrrcrr              0.000          0.250          0.750          
J:Q:crrrcrrr             0.028          0.708          0.264          
J:Q:crrrcrrrr            0.100          0.900          0.000          
J:Q:crrrrc               0.000          0.673          0.327          
J:Q:crrrrcc              0.000          0.790          0.210          
J:Q:crrrrccr             0.100          0.081          0.819          
J:Q:crrrrccrr            0.011          0.978          0.011          
J:Q:crrrrccrrr           0.041          0.000          0.959          
J:Q:crrrrccrrrr          0.500          0.500          0.000          
J:Q:crrrrcr              0.561          0.367          0.072          
J:Q:crrrrcrr             0.056          0.056          0.889          
J:Q:crrrrcrrr            0.292          0.663          0.045          
J:Q:crrrrcrrrr           0.500          0.500          0.000          
J:Q:rc                   0.000          0.661          0.339          
J:Q:rcc                  0.003          0.896          0.101          
J:Q:rccr                 0.999          0.000          0.000          
J:Q:rccrr                1.000          0.000          0.000          
J:Q:rccrrr               0.333          0.333          0.333          
J:Q:rccrrrr              0.333          0.333          0.333          
J:Q:rcr                  0.995          0.004          0.000          
J:Q:rcrr                 1.000          0.000          0.000          
J:Q:rcrrr                1.000          0.000          0.000          
J:Q:rcrrrr               0.333          0.333          0.333          
J:Q:rrc                  0.172          0.753          0.075          
J:Q:rrcc                 0.005          0.246          0.750          
J:Q:rrccr                0.935          0.054          0.012          
J:Q:rrccrr               0.995          0.004          0.001          
J:Q:rrccrrr              0.950          0.005          0.046          
J:Q:rrccrrrr             0.333          0.667          0.000          
J:Q:rrcr                 0.949          0.002          0.049          
J:Q:rrcrr                0.993          0.001          0.006          
J:Q:rrcrrr               0.986          0.007          0.007          
J:Q:rrcrrrr              0.500          0.500          0.000          
J:Q:rrrc                 0.000          0.946          0.054          
J:Q:rrrcc                0.002          0.986          0.012          
J:Q:rrrccr               0.986          0.000          0.014          
J:Q:rrrccrr              0.000          1.000          0.000          
J:Q:rrrccrrr             0.333          0.000          0.667          
J:Q:rrrccrrrr            0.333          0.333          0.333          
J:Q:rrrcr                0.787          0.122          0.091          
J:Q:rrrcrr               1.000          0.000          0.000          
J:Q:rrrcrrr              0.977          0.001          0.022          
J:Q:rrrcrrrr             0.333          0.333          0.333          
J:Q:rrrrc                0.064          0.892          0.044          
J:Q:rrrrcc               0.020          0.959          0.020          
J:Q:rrrrccr              0.983          0.003          0.014          
J:Q:rrrrccrr             0.333          0.333          0.333          
J:Q:rrrrccrrr            0.333          0.333          0.333          
J:Q:rrrrccrrrr           0.500          0.500          0.000          
J:Q:rrrrcr               0.944          0.006          0.050          
J:Q:rrrrcrr              0.839          0.120          0.042          
J:Q:rrrrcrrr             0.333          0.333          0.333          
J:Q:rrrrcrrrr            0.333          0.333          0.333          
K:*:                     0.000          0.524          0.476          
K:*:c                    0.000          0.256          0.744          
K:*:cr                   0.000          0.556          0.444          
K:*:crr                  0.000          0.251          0.749          
K:*:crrr                 0.000          0.309          0.690          
K:*:crrrr                0.000          1.000          0.000          
K:*:r                    0.000          0.610          0.390          
K:*:rr                   0.000          0.563          0.437          
K:*:rrr                  0.000          0.287          0.713          
K:*:rrrr                 0.000          1.000          0.000          
K:J:cc                   0.000          1.000          0.000          
K:J:ccc                  0.000          0.999          0.001          
K:J:cccr                 0.476          0.523          0.000          
K:J:cccrr                0.333          0.333          0.333          
K:J:cccrrr               0.000          0.500          0.500          
K:J:cccrrrr              0.500          0.500          0.000          
K:J:ccr                  0.295          0.704          0.000          
K:J:ccrr                 0.033          0.066          0.900          
K:J:ccrrr                0.333          0.333          0.333          
K:J:ccrrrr               0.444          0.556          0.000          
K:J:crc                  0.000          1.000          0.000          
K:J:crcc                 0.000          0.878          0.122          
K:J:crccr                0.000          0.999          0.000          
K:J:crccrr               0.199          0.801          0.000          
K:J:crccrrr              0.111          0.085          0.803          
K:J:crccrrrr             0.500          0.500          0.000          
K:J:crcr                 0.038          0.961          0.000          
K:J:crcrr                0.083          0.208          0.708          
K:J:crcrrr               0.333          0.333          0.333          
K:J:crcrrrr              0.500          0.500          0.000          
K:J:crrc                 0.000          0.990          0.010          
K:J:crrcc                0.000          0.000          1.000          
K:J:crrccr               0.107          0.893          0.000          
K:J:crrccrr              0.427          0.573          0.000          
K:J:crrccrrr             0.000          0.000          1.000          
K:J:crrccrrrr            0.500          0.500          0.000          
K:J:crrcr                0.000          1.000          0.000          
K:J:crrcrr               0.317          0.671          0.012          
K:J:crrcrrr              0.333          0.333          0.333          
K:J:crrcrrrr             0.500          0.500          0.000          
K:J:crrrc                0.000          0.920          0.080          
K:J:crrrcc               0.000          0.871          0.129          
K:J:crrrccr              0.000          0.987          0.013          
K:J:crrrccrr             0.000          0.998          0.002          
K:J:crrrccrrr            0.000          0.410          0.590          
K:J:crrrccrrrr           0.500          0.500          0.000          
K:J:crrrcr               0.000          1.000          0.000          
K:J:crrrcrr              0.000          0.960          0.040          
K:J:crrrcrrr             0.333          0.333          0.333          
K:J:crrrcrrrr            0.000          1.000          0.000          
K:J:crrrrc               0.000          0.945          0.055          
K:J:crrrrcc              0.000          0.550          0.450          
K:J:crrrrccr             0.000          1.000          0.000          
K:J:crrrrccrr            0.000          0.384          0.616          
K:J:crrrrccrrr           0.333          0.333          0.333          
K:J:crrrrccrrrr          0.000          1.000          0.000          
K:J:crrrrcr              0.000          0.695          0.304          
K:J:crrrrcrr             0.045          0.943          0.013          
K:J:crrrrcrrr            0.000          1.000          0.000          
K:J:crrrrcrrrr           0.000          1.000          0.000          
K:J:rc                   0.000          0.999          0.001          
K:J:rcc                  0.000          0.272          0.728          
K:J:rccr                 0.096          0.903          0.000          
K:J:rccrr                0.999          0.000          0.000          
K:J:rccrrr               0.000          0.597          0.403          
K:J:rccrrrr              0.000          1.000          0.000          
K:J:rcr                  0.157          0.843          0.000          
K:J:rcrr                 0.756          0.072          0.171          
K:J:rcrrr                0.071          0.431          0.498          
K:J:rcrrrr               0.500          0.500          0.000          
K:J:rrc                  0.000          0.857          0.143          
K:J:rrcc                 0.000          0.763          0.237          
K:J:rrccr                0.000          0.999          0.000          
K:J:rrccrr               0.140          0.859          0.001          
K:J:rrccrrr              0.222          0.222          0.556          
K:J:rrccrrrr             0.505          0.495          0.000          
K:J:rrcr                 0.076          0.923          0.002          
K:J:rrcrr                0.992          0.008          0.000          
K:J:rrcrrr               0.333          0.333          0.333          
K:J:rrcrrrr              0.333          0.333          0.333          
K:J:rrrc                 0.000          0.990          0.010          
