Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
----------------------------------------------------------------------
J:*:                     0.000          0.893          0.106          
J:*:c                    0.000          0.639          0.361          
J:*:cr                   0.000          0.960          0.040          
J:*:crr                  0.000          0.997          0.003          
J:*:crrr                 0.000          0.982          0.018          
J:*:crrrr                0.004          0.996          0.000          
J:*:r                    0.000          0.964          0.036          
J:*:rr                   0.000          0.992          0.008          
J:*:rrr                  0.000          0.985          0.015          
J:*:rrrr                 0.005          0.995          0.000          
J:J:cc                   0.000          0.834          0.166          
J:J:ccc                  0.000          0.000          1.000          
J:J:cccr                 0.000          0.000          1.000          
J:J:cccrr                0.000          0.202          0.798          
J:J:cccrrr               0.000          0.067          0.933          
J:J:cccrrrr              0.061          0.939          0.000          
J:J:ccr                  0.000          0.088          0.912          
J:J:ccrr                 0.000          0.065          0.935          
J:J:ccrrr                0.083          0.213          0.704          
J:J:ccrrrr               0.031          0.969          0.000          
J:J:crc                  0.000          0.053          0.947          
J:J:crcc                 0.000          0.000          1.000          
J:J:crccr                0.000          0.000          1.000          
J:J:crccrr               0.000          0.209          0.791          
J:J:crccrrr              0.000          0.016          0.984          
J:J:crccrrrr             0.002          0.998          0.000          
J:J:crcr                 0.000          0.013          0.987          
J:J:crcrr                0.000          0.000          1.000          
J:J:crcrrr               0.065          0.159          0.776          
J:J:crcrrrr              0.000          1.000          0.000          
J:J:crrc                 0.000          0.338          0.662          
J:J:crrcc                0.000          0.000          1.000          
J:J:crrccr               0.000          0.000          0.998          
J:J:crrccrr              0.000          0.127          0.872          
J:J:crrccrrr             0.005          0.119          0.876          
J:J:crrccrrrr            0.000          1.000          0.000          
J:J:crrcr                0.000          0.000          1.000          
J:J:crrcrr               0.000          0.048          0.951          
J:J:crrcrrr              0.000          0.183          0.817          
J:J:crrcrrrr             0.003          0.997          0.000          
J:J:crrrc                0.000          0.061          0.939          
J:J:crrrcc               0.019          0.079          0.902          
J:J:crrrccr              0.000          0.001          0.998          
J:J:crrrccrr             0.030          0.040          0.930          
J:J:crrrccrrr            0.000          0.000          0.999          
J:J:crrrccrrrr           0.019          0.981          0.000          
J:J:crrrcr               0.034          0.070          0.896          
J:J:crrrcrr              0.000          0.022          0.978          
J:J:crrrcrrr             0.011          0.067          0.922          
J:J:crrrcrrrr            0.000          1.000          0.000          
J:J:crrrrc               0.012          0.458          0.530          
J:J:crrrrcc              0.014          0.093          0.893          
J:J:crrrrccr             0.009          0.021          0.971          
J:J:crrrrccrr            0.009          0.044          0.946          
J:J:crrrrccrrr           0.003          0.011          0.986          
J:J:crrrrccrrrr          0.007          0.993          0.000          
J:J:crrrrcr              0.017          0.078          0.905          
J:J:crrrrcrr             0.032          0.071          0.897          
J:J:crrrrcrrr            0.012          0.102          0.885          
J:J:crrrrcrrrr           0.017          0.983          0.000          
J:J:rc                   0.000          0.371          0.629          
J:J:rcc                  0.000          0.000          1.000          
J:J:rccr                 0.000          0.000          1.000          
J:J:rccrr                0.000          0.196          0.803          
J:J:rccrrr               0.061          0.120          0.819          
J:J:rccrrrr              0.000          1.000          0.000          
J:J:rcr                  0.000          0.000          1.000          
J:J:rcrr                 0.000          0.104          0.896          
J:J:rcrrr                0.000          0.209          0.791          
J:J:rcrrrr               0.000          1.000          0.000          
J:J:rrc                  0.000          0.276          0.724          
J:J:rrcc                 0.000          0.002          0.997          
J:J:rrccr                0.000          0.000          1.000          
J:J:rrccrr               0.000          0.147          0.853          
J:J:rrccrrr              0.000          0.054          0.946          
J:J:rrccrrrr             0.001          0.999          0.000          
J:J:rrcr                 0.000          0.007          0.993          
J:J:rrcrr                0.000          0.002          0.998          
J:J:rrcrrr               0.002          0.259          0.740          
J:J:rrcrrrr              0.000          1.000          0.000          
J:J:rrrc                 0.007          0.496          0.497          
J:J:rrrcc                0.000          0.002          0.998          
J:J:rrrccr               0.010          0.012          0.978          
J:J:rrrccrr              0.000          0.110          0.889          
J:J:rrrccrrr             0.005          0.060          0.934          
J:J:rrrccrrrr            0.000          1.000          0.000          
J:J:rrrcr                0.000          0.000          0.999          
J:J:rrrcrr               0.014          0.059          0.927          
J:J:rrrcrrr              0.000          0.128          0.872          
J:J:rrrcrrrr             0.031          0.969          0.000          
J:J:rrrrc                0.003          0.536          0.461          
J:J:rrrrcc               0.027          0.094          0.878          
J:J:rrrrccr              0.021          0.026          0.953          
J:J:rrrrccrr             0.022          0.044          0.934          
J:J:rrrrccrrr            0.007          0.012          0.981          
J:J:rrrrccrrrr           0.021          0.979          0.000          
