Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
----------------------------------------------------------------------
J:*:                     0.017          0.748          0.235          
J:*:c                    0.003          0.528          0.469          
J:*:cr                   0.001          0.980          0.019          
J:*:crr                  0.002          0.899          0.099          
J:*:crrr                 0.024          0.560          0.416          
J:*:crrrr                0.011          0.989          0.000          
J:*:r                    0.003          0.946          0.051          
J:*:rr                   0.004          0.865          0.130          
J:*:rrr                  0.020          0.627          0.353          
J:*:rrrr                 0.017          0.983          0.000          
J:J:cc                   0.001          0.307          0.692          
J:J:ccc                  0.002          0.002          0.996          
J:J:cccr                 0.001          0.002          0.996          
J:J:cccrr                0.000          0.000          0.999          
J:J:cccrrr               0.000          0.213          0.787          
J:J:cccrrrr              0.000          1.000          0.000          
J:J:ccr                  0.002          0.003          0.995          
J:J:ccrr                 0.000          0.004          0.996          
J:J:ccrrr                0.000          0.265          0.734          
J:J:ccrrrr               0.000          1.000          0.000          
J:J:crc                  0.000          0.183          0.817          
J:J:crcc                 0.002          0.003          0.995          
J:J:crccr                0.000          0.001          0.998          
J:J:crccrr               0.000          0.001          0.998          
J:J:crccrrr              0.000          0.239          0.760          
J:J:crccrrrr             0.000          1.000          0.000          
J:J:crcr                 0.002          0.008          0.990          
J:J:crcrr                0.000          0.000          1.000          
J:J:crcrrr               0.000          0.316          0.684          
J:J:crcrrrr              0.000          1.000          0.000          
J:J:crrc                 0.024          0.814          0.162          
J:J:crrcc                0.000          0.000          0.998          
J:J:crrccr               0.010          0.016          0.974          
J:J:crrccrr              0.000          0.000          0.999          
J:J:crrccrrr             0.003          0.014          0.983          
J:J:crrccrrrr            0.000          1.000          0.000          
J:J:crrcr                0.000          0.001          0.998          
J:J:crrcrr               0.051          0.296          0.653          
J:J:crrcrrr              0.000          0.000          0.999          
J:J:crrcrrrr             0.039          0.961          0.000          
J:J:crrrc                0.013          0.946          0.041          
J:J:crrrcc               0.008          0.011          0.982          
J:J:crrrccr              0.004          0.008          0.988          
J:J:crrrccrr             0.003          0.004          0.993          
J:J:crrrccrrr            0.002          0.004          0.995          
J:J:crrrccrrrr           0.002          0.998          0.000          
J:J:crrrcr               0.008          0.010          0.982          
J:J:crrrcrr              0.108          0.114          0.778          
J:J:crrrcrrr             0.003          0.004          0.994          
J:J:crrrcrrrr            0.062          0.938          0.000          
J:J:crrrrc               0.018          0.606          0.376          
J:J:crrrrcc              0.004          0.007          0.990          
J:J:crrrrccr             0.008          0.121          0.871          
J:J:crrrrccrr            0.002          0.002          0.996          
J:J:crrrrccrrr           0.002          0.064          0.934          
J:J:crrrrccrrrr          0.000          0.999          0.000          
J:J:crrrrcr              0.004          0.005          0.991          
J:J:crrrrcrr             0.019          0.099          0.882          
J:J:crrrrcrrr            0.001          0.002          0.997          
J:J:crrrrcrrrr           0.012          0.988          0.000          
J:J:rc                   0.005          0.152          0.844          
J:J:rcc                  0.001          0.001          0.998          
J:J:rccr                 0.010          0.011          0.979          
J:J:rccrr                0.000          0.000          0.999          
J:J:rccrrr               0.003          0.007          0.989          
J:J:rccrrrr              0.000          1.000          0.000          
J:J:rcr                  0.001          0.002          0.997          
J:J:rcrr                 0.002          0.003          0.995          
J:J:rcrrr                0.000          0.001          0.998          
J:J:rcrrrr               0.000          0.999          0.000          
J:J:rrc                  0.002          0.307          0.691          
J:J:rrcc                 0.020          0.056          0.924          
J:J:rrccr                0.002          0.002          0.996          
J:J:rrccrr               0.007          0.021          0.972          
J:J:rrccrrr              0.000          0.001          0.998          
J:J:rrccrrrr             0.005          0.995          0.000          
J:J:rrcr                 0.020          0.047          0.934          
J:J:rrcrr                0.000          0.000          0.998          
J:J:rrcrrr               0.007          0.034          0.958          
J:J:rrcrrrr              0.000          1.000          0.000          
J:J:rrrc                 0.012          0.347          0.641          
J:J:rrrcc                0.010          0.018          0.972          
J:J:rrrccr               0.011          0.016          0.973          
J:J:rrrccrr              0.003          0.004          0.993          
J:J:rrrccrrr             0.003          0.005          0.992          
J:J:rrrccrrrr            0.002          0.998          0.000          
J:J:rrrcr                0.010          0.019          0.971          
J:J:rrrcrr               0.007          0.011          0.983          
J:J:rrrcrrr              0.003          0.008          0.989          
J:J:rrrcrrrr             0.003          0.997          0.000          
J:J:rrrrc                0.006          0.935          0.059          
J:J:rrrrcc               0.020          0.148          0.832          
J:J:rrrrccr              0.002          0.004          0.994          
J:J:rrrrccrr             0.009          0.040          0.951          
J:J:rrrrccrrr            0.000          0.001          0.998          
J:J:rrrrccrrrr           0.004          0.996          0.000          
J:J:rrrrcr               0.020          0.138          0.842          
J:J:rrrrcrr              0.037          0.057          0.906          
J:J:rrrrcrrr             0.008          0.062          0.930          
J:J:rrrrcrrrr            0.021          0.979          0.000          
J:K:cc                   0.001          0.745          0.254          
J:K:ccc                  0.002          0.953          0.045          
J:K:cccr                 0.978          0.012          0.010          
J:K:cccrr                0.974          0.013          0.013          
J:K:cccrrr               0.963          0.019          0.019          
J:K:cccrrrr              0.500          0.500          0.000          
J:K:ccr                  0.987          0.004          0.010          
J:K:ccrr                 0.996          0.002          0.002          
J:K:ccrrr                0.860          0.064          0.075          
J:K:ccrrrr               0.500          0.500          0.000          
J:K:crc                  0.018          0.926          0.056          
J:K:crcc                 0.003          0.133          0.864          
J:K:crccr                1.000          0.000          0.000          
J:K:crccrr               0.998          0.001          0.001          
J:K:crccrrr              0.303          0.303          0.393          
J:K:crccrrrr             0.323          0.677          0.000          
J:K:crcr                 0.614          0.002          0.384          
J:K:crcrr                0.994          0.003          0.003          
J:K:crcrrr               0.996          0.002          0.002          
J:K:crcrrrr              0.500          0.500          0.000          
J:K:crrc                 0.023          0.180          0.796          
J:K:crrcc                0.000          0.998          0.001          
J:K:crrccr               0.398          0.351          0.252          
J:K:crrccrr              0.406          0.391          0.203          
J:K:crrccrrr             0.098          0.070          0.832          
J:K:crrccrrrr            0.515          0.485          0.000          
J:K:crrcr                0.987          0.011          0.001          
J:K:crrcrr               0.982          0.009          0.009          
